,Month,Climate,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
0,8.0,6.0,-1.1911584102245887,-1.3268526612339764,-0.323986661829837,2.827549622161695e-16,0.0,13.0,5.421502496308678e-16,3.0,13.0,-1.6079997885096957,0.0,0.3283675479566556,3.46960471173384e-16,1.712739934230643e-14,0.0,8.0,7.0,-1.1632613270402758,5.152906357609097e-16,0.0
1,3.0,4.0,0.49949432952305184,0.35590053126407084,-0.323986661829837,1.601679336050326,-1.1366402334795531,11.0,1.2831269834317784,3.0,11.0,2.6277942282653663,0.39002280254423205,-1.177797372610998,0.31167146706033033,-0.44798971579317287,-0.03414500791491229,7.0,7.0,0.7396040354234164,0.019438845675496818,0.0
2,10.0,6.0,0.6732997513662669,-0.5976596111514892,-0.323986661829837,-0.05376034916574305,-2.751992567877692,0.0,-0.24289030545347026,2.0,0.0,0.6816185989362837,0.15742393948044975,0.274575943650668,0.9952963008616558,0.8928326450133639,0.8288553060072764,8.0,8.0,0.05332472437093742,-0.5317185491845837,0.0
3,1.0,4.0,0.23088595031080975,-0.7238661005888426,0.1749805097771736,-0.49945564903160794,-1.0265025743160439,11.0,0.29121574565636676,3.0,11.0,-0.8066333529036029,0.8552205286717965,1.2428248211584454,1.1906176819477488,-0.9602139884608365,-0.5034960558375059,8.0,5.0,-0.33660670236342577,-0.9088262404046388,1.0
4,5.0,0.0,0.3888908792591873,-0.2470860293810628,-0.323986661829837,2.827549622161695e-16,0.0,12.0,-1.082199814340357,13.0,4.0,-0.34870967541440706,-1.1218698073703528,-0.31713170371519595,0.3605018123318536,0.10943081622751333,-0.0038642951457060416,7.0,7.0,-0.3054121882246768,-0.34316470357455614,0.0
5,11.0,0.0,0.009679049783081047,0.7064741130344974,-0.323986661829837,2.827549622161695e-16,0.0,3.0,-0.7769963565633072,3.0,3.0,-0.577671514159005,0.04112450794855862,-0.04817368218525778,-0.6161050930986113,-0.41785887622449686,-0.5337767686066949,7.0,7.0,0.6460204930071696,0.8896873638756239,0.0
6,10.0,6.0,-0.6223406660104294,-0.40133840536005017,-0.323986661829837,2.827549622161695e-16,0.0,8.0,-0.54809376323052,10.0,8.0,-0.8066333529036029,0.04112450794855862,0.16699273503869275,0.7999749197755628,-0.3425317773027811,-0.04928536429951541,7.0,7.0,-0.0714533321840589,-0.34316470357455614,0.0
7,4.0,0.0,0.49949432952305184,-0.02271893704798965,-0.323986661829837,2.827549622161695e-16,0.0,1.0,-1.234801543228882,10.0,4.0,-0.9211142722759019,-1.354468670434135,0.5973255694865938,0.4093321576033768,1.028421423072466,0.9802588698532733,7.0,7.0,0.38086712282780216,0.03394298764549863,0.0
8,1.0,0.0,0.6732997513662669,0.874749432284302,-0.323986661829837,2.827549622161695e-16,0.0,8.0,0.4438174745448916,9.0,9.0,0.9105804376808817,-0.8892709443065705,-0.8550477467750722,-1.1044085458138437,0.3504775327770071,0.783434236853467,7.0,7.0,0.7396040354234164,0.8751832219056216,0.0
9,2.0,6.0,1.3527209458442906,0.7345199995761313,-0.323986661829837,1.5380085789266311,0.7724125253546102,0.0,-1.082199814340357,15.0,0.0,-0.9211142722759019,0.15742393948044975,-0.20954849510322066,0.31167146706033033,-0.2672046783810654,-0.15526785899170287,3.0,7.0,1.191924490435278,0.7301418022056004,0.0
